key,nom,editeur,installs,avis,note,derniere_version_dc,cloud_meme_editeur,nb_alternatives,exemples
com.awnaba.projectconfigurator.projectconfigurator,Project Configurator for Jira,Appfire,1820,115,4.76,2026-09-03,,11,Configuration Manager for Jira (CMJ) (145); Smart Configuration: Documentation for J (46); Software Configuration Management Toolki (22); Revyz Command Center for Jira (Backup Co (19)
com.resolution.atlasplugins.samlsso.Jira,SAML SSO Single Sign On for Jira SSO OAuth + User Sync,resolution Reichert Network Solutions GmbH,1311,109,4.97,2026-08-27,,11,Single Sign On SAML SSO for Jira (SSO SA (82); SAML/OAuth SSO for JSM Customers (19); Single Sign On (SSO) via OAuth and OpenI (53); Single Sign On (SSO) via OAuth/OpenID fo (74)
com.cps.lastLog,Last Log for Jira,Decadis AG,1473,33,4.96,2026-05-12,,0,
confluence.extra.noemailstorm,No Email Storm,Stiltsoft Europe OÜ,1377,54,4.91,2025-09-02,,8,Email This Issue (181); Notification Assistant for Jira - Email (57); mailto.wiki - Email for Confluence (11); Simple Reminder – Email Notifications (12)
com.refinedwiki.confluence.plugins.theme.original,"Refined for Confluence DC (Intranet, Themes & Navigation)",Refined,1440,92,4.69,2026-09-24,"Refined UI Toolkit for Confluence (Page Builder, Navigation)",6,"Async Poker: Planning Poker & Estimation (45); Excel-like Bulk Issue Editor for Jira (S (28); Agile User Story Map, Portfolio Roadmaps (143); STAGIL Navigation Menus for Jira (20)"
com.botronsoft.jira.poweradmin,Power Admin for Jira,Appfire,2638,8,4.69,2026-09-23,,9,Power BI Connector for Jira (159); Power BI Connector - Connect Power BI an (59); Power Custom Fields for Jira (34); Power Scripts - Jira Workflow Automation (302)
com.thinktilt.proforma.add-on,ProForma: Forms & Checklist for Jira,Atlassian,1290,57,4.87,2026-09-15,,1,"Smart Forms for Jira (JSM, JWM, Confluen (48)"
com.botronsoft.jira.rollout.integrity-check,Integrity Check for Jira,Appfire,2855,9,4.44,2026-09-23,,15,Slack Integration+ for Jira (77); Open API (Swagger) Integration (31); Toggl Integration for Jira (37); Power BI Connector for Jira (159)
com.resolution.atlasplugins.samlsso.Confluence,SAML SSO Single Sign On for Confluence SSO OAuth + User Sync,resolution Reichert Network Solutions GmbH,1003,53,4.96,2026-08-27,,11,Single Sign On SAML SSO for Jira (SSO SA (82); SAML/OAuth SSO for JSM Customers (19); Single Sign On (SSO) via OAuth and OpenI (53); Single Sign On (SSO) via OAuth/OpenID fo (74)
com.plugin.commitgraph.commitgraph,Charts & Graphs for Bitbucket,Appfire,1105,114,4.69,2026-07-24,,8,"Custom Charts for Jira -Reports, Dashboa (139); Awesome Graphs for Bitbucket (85); eazyBI for Jira Reports, Charts, and Das (227); Table Filter, Charts & Spreadsheets for  (442)"
com.refinedwiki.jira.servicedesk.refinedtheme,"Refined for JSM DC (Theme ITSM, HR Helpdesk & Service Desks)",Refined,890,43,4.68,2026-09-17,"Refined Sites for JSM (Theme ITSM, HR, Help & Service Desks)",14,"Refined Sites for Confluence (Intranets, (63); Refined Macro Toolkit (Content Formattin (35); Queues for Jira & JSM (47); Microsoft Teams for Jira & JSM (30)"
de.scandio.confluence.plugins.hideelements-macro,HideElements - Custom Layout & UI Control for Confluence,Lively Apps,723,28,5.0,2026-08-16,,7,"Document Vault - Secure Attachments in J (12); Agile Charts - WIP, Cycle & Lead Time, T (18); Visibility for Confluence (33); Dependency Map for Jira (link viewer) (13)"
com.nolddor.announcement-banner,Announcement Banner for Confluence,Sweet Bananas,792,23,4.95,2025-09-26,,3,Announcer for Jira (12); Feature Bundle – Self-Service Extension  (51); Message field (12)
nl.topicus.bitbucket.bitbucket-webhooks,Jenkins and Azure DevOps Post Webhooks for Bitbucket,votazz,825,31,4.8,2026-03-10,,9,Azure DevOps for Jira (27); TFS4JIRA Azure DevOps integration (230); Azure DevOps Integration for Jira (DevOp (54); Jenkins for Jira (Official) (26)
com.bit-booster.graph,CommitGraph for Bitbucket,GitBoost Software Inc.,1162,12,4.69,2026-05-15,,0,
com.decadis.xtools-for-jira,Admin Toolbox for Jira,Decadis AG,597,49,5.0,2026-08-26,,1,Jira Workflow Toolbox (540)
no.kantega.kerberosauth.kerberosauth-plugin,K-SSO SAML SSO OAuth Kerberos User Management for Jira,Kantega SSO,635,55,4.86,2026-09-18,,18,Backbone Work Sync for Jira (Two Way Iss (72); Jira Misc Workflow Extensions (JMWE) (534); Timesheets by Tempo - Jira Time Tracking (898); Checklists for Jira (Pro) by HeroCoders (264)
com.greffon.folio,Budgets - Jira Project Budget Management | Tempo,Tempo Software,707,55,4.73,2026-09-24,,3,Time & Cost Tracker for Jira (Timesheet  (17); Worklog360 — Time Tracking & Budget Mana (18); ESU - Sum Up KPI & Budget Reporting Proj (44)
com.k15t.scroll.scroll-versions,Scroll Versions for Confluence,K15t,740,47,4.68,2026-09-15,,9,Scroll PDF Exporter for Confluence (228); Scroll Word Exporter for Confluence (136); Scroll Content Manager for Confluence (37); Version Manager Pro - Simplify Project V (10)
ch.mibex.stash.sonar4stash,Include Code Quality for Bitbucket,Elevatic,680,44,4.8,2026-07-06,Include Code Quality for Bitbucket Cloud,3,"Include from Bitbucket to Confluence (Ma (19); Just Add+ Embed Markdown, Diagrams, & Co (50); AI Apps Builder for Jira (No-Code Way to (18)"
com.tngtech.jira.plugins.schizophrenia,User Switcher for Jira,TNG Technology Consulting GmbH,865,43,4.45,2026-09-10,,10,User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); Flexible User License - Auto User Manage (17); User Profiles for Jira (Microsoft Attrib (26)
no.kantega.kerberosauth.kerberosauth-plugin.confluence,K-SSO SAML SSO OAuth Kerberos User Management for Confluence,Kantega SSO,595,44,4.91,2026-09-18,,18,Backbone Work Sync for Jira (Two Way Iss (72); Jira Misc Workflow Extensions (JMWE) (534); Timesheets by Tempo - Jira Time Tracking (898); Checklists for Jira (Pro) by HeroCoders (264)
com.isroot.stash.plugin.yacc,Yet Another Commit Checker,Appfire,808,31,4.6,2026-08-24,,5,"Better Commit Policy for Jira (Git, Bitb (22); ControlFreak - Commit Checks and Jira Ho (21); Git Integration for Jira (GitHub, GitLab (343); GitLab Integration for Jira Two-Way Sync (24)"
com.balsamiq.confluence.plugins.mockups,Balsamiq Wireframes for Confluence Data Center,Balsamiq,964,68,4.12,2026-08-05,,7,"Balsamiq for Confluence Cloud | Wirefram (23); Balsamiq for Jira Cloud | Wireframes & p (24); Draw Wireframes, Mockup, Prototype & Dia (30); Draw UI Wireframes, Mockup, Prototype &  (13)"
com.nolddor.user-switcher-for-confluence,User Switcher for Confluence,Sweet Bananas,686,25,4.85,2025-10-02,,10,User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); Flexible User License - Auto User Manage (17); User Profiles for Jira (Microsoft Attrib (26)
io.extensi.jira.plugin.agileboardfilter,Agile Tools & Filters for Jira,eXtensi,585,26,5.0,2026-07-08,,13,"Rich Filters for Jira Dashboards (185); Agile Tools-Epic Tree, Links Tree, Time  (20); Table Filter, Charts & Spreadsheets for  (442); ActionableAgile® Analytics: Kanban/ Agil (32)"
ru.andreymarkelov.atlas.plugins.utils,Power Utilities for Jira - Workflow toolbox for admins,Appfire,674,25,4.8,2026-09-17,,8,Power BI Connector for Jira (159); Power BI Connector - Connect Power BI an (59); Power Custom Fields for Jira (34); Power Scripts - Jira Workflow Automation (302)
net.junovi.confluence.blueprint-creator,"Blueprint Creator - Advanced Templates: Pages, Blog & Spaces",Seibert - Junovi,423,63,5.0,2026-09-16,,3,"Page Tree Creator Pro (Blueprint, Templa (22); Delegated Project Creator for Jira (33); IZI for Confluence (LMS, Training Course (34)"
com.jiraeditor.jeditor,JEditor - Rich Text Editor for Jira,Bobronix,897,57,3.97,2026-09-07,,8,"KARMA Page Builder for Confluence (Conte (164); Source Editor for Confluence (25); PDF Exporter, Word Exporter, Email & Att (30); ikuTeam Office: Edit Word, PowerPoint &  (18)"
com.dolby.atlassian.jira.jirasu,Switch User (SU) for Jira,The Plugin People,515,26,4.9,2026-07-03,,10,User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); Flexible User License - Auto User Manage (17); User Profiles for Jira (Microsoft Attrib (26)
com.intenso.jira.plugins.ad-integration-manager,Active Directory Attributes Sync,Deviniti,635,46,4.46,2026-09-22,,6,User Profiles for Jira (Microsoft Attrib (26); Filters Activity Stream (22); User Profiles for Confluence (Microsoft  (31); Entra ID (Azure AD) Attributes Sync for  (21)
net.kentcom.page-view-tracker,Page View Tracker,KC Integrations,897,16,4.3,2026-05-04,,10,Capacity Tracker (36); Tree View (10); Time Tracker for Jira Cloud & DC (298); Copy Page Tree (67)
info.renjithv.jira.plugins.sysadmin.homedirectorybrowser,"Home Directory, Database & Log File Browser for Jira",votazz,608,27,4.58,2026-02-11,,10,"Properties - Templates, Metadata & Datab (17); PocketQuery - Connect SQL Databases & RE (79); External Data for Confluence (Visualize  (13); Atlassian Home for Jira Cloud (10)"
com.miniorange.twofactor.jira-twofactor,mO 2FA for Jira (Two Factor Authentication),miniOrange,383,55,4.95,2026-08-10,,5,"Fields - Custom Fields for Jira (48); Pivot Report: Roll Up Epic Issues, Workl (80); Single Sign On (SSO) via OAuth/OpenID fo (74); Single Sign On (SSO) via OAuth and OpenI (53)"
